Date,Status,Price,Price/sqft,Days on Market,Agent,Agency,MLS Number
02/01/2024,Sold,"$2,150,000","$1,181.97",56,Ina Bloom,Compass Florida Llc,R10945365
12/28/2023,Pending,"$2,299,000","$1,263.88",1,Ina Bloom,Compass Florida Llc,R10945365
01/06/2024,Pulled Off Market,"$2,299,000","$1,263.88",12,Ina Bloom,Compass Florida Llc,RX-10945365
12/26/2023,Active - New Listing,"$2,299,000","$1,263.88",1,Ina Bloom,Compass Florida Llc,RX-10945365
09/18/2024,Active - Price Adjustment,"$2,500,000","$1,374.38",2,Serhant,Serhant,RX-11021704
09/17/2024,Coming Soon,"$2,500,000","$1,374.38",1,Nicholas M Gonzalez,Serhant,RX-11021704
